,date,open,high,low,close,settlement,notional_million,volume,open_interest
1,2000-07-17,2160,2160,1996,1996,2096,7.8,372,270
2,2000-07-18,2013,2146,2013,2038,2056,22.29,1084,692
3,2000-07-19,2040,2040,2011,2012,2024,2.75,136,742
4,2000-07-20,2021,2026,2006,2016,2016,1.21,60,742
5,2000-07-21,1990,1998,1970,1970,1987,4.05,204,754
6,2000-07-24,1970,1977,1930,1976,1965,2.32,118,748
7,2000-07-25,1938,1998,1937,1998,1953,2.42,124,748
8,2000-07-26,1990,1990,1940,1950,1968,1.22,62,748
9,2000-07-27,1987,1987,1935,1948,1951,1.29,66,748
10,2000-07-28,1924,1950,1922,1926,1936,3.06,158,742
11,2000-07-31,1950,1958,1940,1948,1945,13.77,708,742
12,2000-08-01,1945,1945,1945,1945,1945,0,0,742
13,2000-08-02,1959,1966,1900,1905,1924,8.43,438,752
14,2000-08-03,1900,1900,1871,1895,1886,7.92,420,822
15,2000-08-04,1865,1895,1861,1870,1870,12.12,648,1074
16,2000-08-07,1900,1900,1870,1880,1879,69.77,3712,3970
17,2000-08-08,1944,1944,1822,1870,1876,88.97,4742,4506
18,2000-08-09,1870,1870,1820,1860,1847,126.02,6820,2834
19,2000-08-10,1825,1870,1810,1820,1838,48.91,2660,2766
20,2000-08-11,1820,1820,1810,1820,1816,40.1,2208,3366
21,2000-08-14,1810,1845,1810,1840,1823,23.89,1310,3470
22,2000-08-15,1840,1840,1830,1838,1835,26.98,1470,3326
23,2000-08-16,1820,1820,1812,1812,1817,15.3,842,2954
24,2000-08-17,1818,1820,1811,1820,1815,3.85,212,3156
25,2000-08-18,1800,1815,1800,1805,1813,11.1,612,3626
26,2000-08-21,1820,1820,1810,1810,1818,6.58,362,3326
27,2000-08-22,1806,1836,1806,1819,1816,7.96,438,3650
28,2000-08-23,1804,1805,1803,1805,1803,0.22,12,3642
29,2000-08-24,1837,1837,1800,1800,1817,31.07,1710,4818
30,2000-08-25,1795,1800,1790,1790,1799,2.81,156,4804
31,2000-08-28,1800,1870,1799,1867,1841,52.56,2854,4726
32,2000-08-29,1860,1860,1839,1858,1855,21.01,1132,3754
33,2000-08-30,1840,1875,1833,1875,1853,22.39,1208,3270
34,2000-08-31,1860,1900,1850,1885,1851,39.28,2122,5270
35,2000-09-01,1925,1925,1925,1925,1925,0.35,18,5270
36,2000-09-04,1910,1998,1856,1868,1917,47.68,2486,3248
