"","contract","date","open","high","low","close","settlement","volume","open_interest"
"28","I1409.DCE",2013-10-18,967,977,921,953,949,11838,5628
"29","I1409.DCE",2013-10-21,948,952,938,938,942,3626,7548
"30","I1409.DCE",2013-10-22,938,938,920,920,927,3254,8240
"31","I1409.DCE",2013-10-23,925,927,916,919,921,3098,9474
"32","I1409.DCE",2013-10-24,918,918,905,910,912,4650,11510
"33","I1409.DCE",2013-10-25,912,918,902,903,911,2708,12428
"34","I1409.DCE",2013-10-28,902,911,901,904,903,2530,12190
"35","I1409.DCE",2013-10-29,904,907,898,903,900,2400,12922
"36","I1409.DCE",2013-10-30,904,908,902,903,904,5198,11174
"37","I1409.DCE",2013-10-31,904,904,901,902,902,1896,10886
"38","I1409.DCE",2013-11-01,902,933,902,926,921,6066,8642
"39","I1409.DCE",2013-11-04,927,936,923,929,928,2398,8848
"40","I1409.DCE",2013-11-05,928,933,923,927,927,1712,9550
"41","I1409.DCE",2013-11-06,927,932,924,925,927,2236,10022
"42","I1409.DCE",2013-11-07,924,929,921,928,926,3002,11140
"43","I1409.DCE",2013-11-08,925,930,922,923,925,5040,15012
"44","I1409.DCE",2013-11-11,924,927,920,925,922,2938,16006
"45","I1409.DCE",2013-11-12,925,928,922,926,925,2134,16028
"46","I1409.DCE",2013-11-13,928,934,923,924,928,3296,15964
"47","I1409.DCE",2013-11-14,925,925,920,920,922,1746,15974
"48","I1409.DCE",2013-11-15,920,925,914,915,917,3412,17096
"49","I1409.DCE",2013-11-18,916,919,912,918,916,3780,18128
"50","I1409.DCE",2013-11-19,916,925,915,925,918,3354,16982
"51","I1409.DCE",2013-11-20,923,929,923,925,925,1354,16836
"52","I1409.DCE",2013-11-21,925,925,916,917,919,1876,17688
"53","I1409.DCE",2013-11-22,920,920,915,917,917,1884,18560
"54","I1409.DCE",2013-11-25,918,920,914,918,916,2136,18814
"55","I1409.DCE",2013-11-26,919,929,919,925,924,2602,18278
"56","I1409.DCE",2013-11-27,924,925,919,922,921,960,18472
"57","I1409.DCE",2013-11-28,921,925,920,923,922,1278,18180
"58","I1409.DCE",2013-11-29,925,928,923,924,924,764,18072
"59","I1409.DCE",2013-12-02,924,925,921,924,923,1498,18578
"60","I1409.DCE",2013-12-03,927,927,922,925,924,1254,18596
"61","I1409.DCE",2013-12-04,928,937,927,934,932,2948,18274
"62","I1409.DCE",2013-12-05,934,939,927,927,932,2220,18690
"63","I1409.DCE",2013-12-06,926,927,921,924,924,4352,17924
"64","I1409.DCE",2013-12-09,922,928,921,927,925,782,17894
"65","I1409.DCE",2013-12-10,927,929,925,926,926,278,17882
"66","I1409.DCE",2013-12-11,925,925,919,921,921,2250,18664
"67","I1409.DCE",2013-12-12,920,923,916,917,920,1830,18928
"68","I1409.DCE",2013-12-13,913,913,896,899,900,8488,22338
"69","I1409.DCE",2013-12-16,902,906,901,902,903,2528,22208
"70","I1409.DCE",2013-12-17,903,906,897,897,901,2162,23592
"71","I1409.DCE",2013-12-18,897,900,890,894,893,4900,25084
"72","I1409.DCE",2013-12-19,895,897,890,892,892,3308,26170
"73","I1409.DCE",2013-12-20,892,896,888,889,892,2392,26014
"74","I1409.DCE",2013-12-23,888,889,869,873,873,15016,32772
"75","I1409.DCE",2013-12-24,873,887,873,878,880,4604,33270
"76","I1409.DCE",2013-12-25,881,883,876,880,880,2374,33438
"77","I1409.DCE",2013-12-26,880,882,871,880,875,4950,34288
"78","I1409.DCE",2013-12-27,879,890,879,887,885,4790,32284
"79","I1409.DCE",2013-12-30,889,900,888,891,895,6288,30790
"80","I1409.DCE",2013-12-31,892,895,883,892,891,5224,30710
"81","I1409.DCE",2014-01-02,891,893,883,889,887,2986,30844
"82","I1409.DCE",2014-01-03,883,886,874,881,879,6574,32774
"83","I1409.DCE",2014-01-06,878,882,871,873,874,9560,37276
"84","I1409.DCE",2014-01-07,873,881,871,880,876,8108,39740
"85","I1409.DCE",2014-01-08,878,878,867,874,873,10534,44918
"86","I1409.DCE",2014-01-09,874,882,867,870,871,9850,48890
"87","I1409.DCE",2014-01-10,865,866,853,861,858,22144,61136
"88","I1409.DCE",2014-01-13,862,862,852,853,854,11258,64938
"89","I1409.DCE",2014-01-14,847,866,847,865,857,14784,71676
"90","I1409.DCE",2014-01-15,861,866,857,861,861,8710,73340
"91","I1409.DCE",2014-01-16,862,867,859,861,862,13934,79444
"92","I1409.DCE",2014-01-17,860,860,853,856,856,6810,81382
"93","I1409.DCE",2014-01-20,855,857,844,844,849,17264,85870
"94","I1409.DCE",2014-01-21,843,844,827,832,832,26942,95848
"95","I1409.DCE",2014-01-22,836,843,830,836,835,17378,97142
"96","I1409.DCE",2014-01-23,837,868,837,861,854,34560,94800
"97","I1409.DCE",2014-01-24,859,863,855,860,858,15594,94928
"98","I1409.DCE",2014-01-27,857,857,846,849,850,9468,97680
"99","I1409.DCE",2014-01-28,847,855,843,843,847,5708,97042
"100","I1409.DCE",2014-01-29,843,853,843,850,849,7672,95818
"101","I1409.DCE",2014-01-30,847,858,846,854,851,4438,96406
"102","I1409.DCE",2014-02-07,850,854,836,840,844,11594,93158
"103","I1409.DCE",2014-02-10,840,846,832,840,838,16224,97608
"104","I1409.DCE",2014-02-11,838,844,832,836,838,11366,102298
"105","I1409.DCE",2014-02-12,834,842,831,840,836,10144,103044
"106","I1409.DCE",2014-02-13,837,845,837,840,841,13232,105436
"107","I1409.DCE",2014-02-14,844,852,841,849,847,16352,105366
"108","I1409.DCE",2014-02-17,852,864,849,863,857,32950,103780
"109","I1409.DCE",2014-02-18,862,867,852,852,860,33380,102696
"110","I1409.DCE",2014-02-19,848,859,848,856,854,20020,108394
"111","I1409.DCE",2014-02-20,855,857,845,845,849,17200,115726
"112","I1409.DCE",2014-02-21,845,847,839,844,843,32632,126590
"113","I1409.DCE",2014-02-24,840,840,816,820,825,71744,152144
"114","I1409.DCE",2014-02-25,822,826,807,814,816,57270,167402
"115","I1409.DCE",2014-02-26,812,817,808,815,813,47358,180444
"116","I1409.DCE",2014-02-27,813,820,811,818,816,52608,186136
"117","I1409.DCE",2014-02-28,818,821,805,808,812,56882,191914
"118","I1409.DCE",2014-03-03,808,811,795,799,799,73760,201976
