"","contract","date","open","high","low","close","settlement","volume","open_interest"
"11","M0601.DCE",2005-01-18,2020,2095,2020,2095,2051,8,2
"12","M0601.DCE",2005-01-19,2097,2119,2097,2119,2106,10,8
"13","M0601.DCE",2005-01-20,2110,2110,2104,2106,2106,12,18
"14","M0601.DCE",2005-01-21,2136,2136,2088,2101,2108,14,20
"15","M0601.DCE",2005-01-24,2108,2114,2105,2111,2110,16,18
"16","M0601.DCE",2005-01-25,2106,2113,2101,2110,2108,20,18
"17","M0601.DCE",2005-01-26,2113,2113,2113,2113,2113,2,18
"19","M0601.DCE",2005-01-28,2100,2100,2091,2091,2093,24,24
"20","M0601.DCE",2005-01-31,2090,2090,2058,2058,2066,46,40
"22","M0601.DCE",2005-02-02,2033,2052,2033,2049,2047,16,48
"23","M0601.DCE",2005-02-03,2040,2055,2040,2055,2049,26,56
"24","M0601.DCE",2005-02-04,2058,2060,2036,2060,2052,18,66
"25","M0601.DCE",2005-02-16,2109,2109,2074,2078,2080,34,60
"26","M0601.DCE",2005-02-17,2081,2087,2081,2085,2084,10,58
"27","M0601.DCE",2005-02-18,2111,2115,2100,2100,2108,78,104
"28","M0601.DCE",2005-02-21,2100,2110,2100,2110,2107,32,102
"29","M0601.DCE",2005-02-22,2130,2185,2105,2185,2146,62,90
"30","M0601.DCE",2005-02-23,2201,2201,2176,2176,2187,62,84
"31","M0601.DCE",2005-02-24,2210,2258,2210,2258,2238,14,84
"32","M0601.DCE",2005-02-25,2240,2249,2240,2249,2245,6,82
"33","M0601.DCE",2005-02-28,2334,2334,2312,2334,2332,36,82
"34","M0601.DCE",2005-03-01,2357,2366,2350,2365,2359,24,92
"35","M0601.DCE",2005-03-02,2367,2446,2367,2440,2412,104,74
"36","M0601.DCE",2005-03-03,2439,2449,2410,2410,2423,24,70
"37","M0601.DCE",2005-03-04,2421,2421,2331,2375,2372,36,68
"38","M0601.DCE",2005-03-07,2409,2426,2399,2419,2410,56,62
"39","M0601.DCE",2005-03-08,2354,2358,2354,2354,2354,14,72
"40","M0601.DCE",2005-03-09,2377,2377,2353,2367,2362,16,70
"41","M0601.DCE",2005-03-10,2372,2418,2370,2418,2388,34,70
"42","M0601.DCE",2005-03-11,2430,2483,2430,2483,2475,24,68
"43","M0601.DCE",2005-03-14,2574,2574,2547,2574,2568,58,108
"44","M0601.DCE",2005-03-15,2577,2667,2577,2655,2604,72,118
"45","M0601.DCE",2005-03-16,2698,2708,2684,2705,2704,68,140
"46","M0601.DCE",2005-03-17,2689,2715,2688,2688,2699,62,154
"47","M0601.DCE",2005-03-18,2661,2698,2592,2592,2615,100,108
"48","M0601.DCE",2005-03-21,2529,2533,2511,2521,2518,58,102
"49","M0601.DCE",2005-03-22,2440,2514,2440,2475,2487,160,90
"50","M0601.DCE",2005-03-23,2462,2486,2440,2455,2458,160,176
"51","M0601.DCE",2005-03-24,2475,2498,2454,2473,2468,50,158
"52","M0601.DCE",2005-03-25,2486,2512,2486,2510,2503,182,156
"53","M0601.DCE",2005-03-28,2501,2511,2487,2511,2500,24,156
"54","M0601.DCE",2005-03-29,2500,2505,2500,2500,2501,6,156
"55","M0601.DCE",2005-03-30,2500,2500,2401,2473,2460,36,162
"56","M0601.DCE",2005-03-31,2530,2550,2503,2545,2528,70,160
"57","M0601.DCE",2005-04-01,2470,2475,2427,2475,2450,84,188
"58","M0601.DCE",2005-04-04,2467,2482,2467,2471,2474,30,190
"59","M0601.DCE",2005-04-05,2463,2472,2453,2472,2463,26,188
"60","M0601.DCE",2005-04-06,2469,2502,2469,2492,2486,54,202
"61","M0601.DCE",2005-04-07,2515,2519,2510,2519,2515,44,186
"62","M0601.DCE",2005-04-08,2516,2560,2485,2494,2514,52,192
"63","M0601.DCE",2005-04-11,2489,2489,2458,2458,2463,94,186
"64","M0601.DCE",2005-04-12,2500,2500,2482,2482,2491,72,172
"65","M0601.DCE",2005-04-13,2452,2480,2440,2470,2467,158,156
"66","M0601.DCE",2005-04-14,2481,2485,2469,2472,2477,60,146
"67","M0601.DCE",2005-04-15,2483,2483,2460,2465,2465,28,136
"68","M0601.DCE",2005-04-18,2448,2478,2445,2451,2453,14,136
"69","M0601.DCE",2005-04-19,2460,2486,2448,2474,2469,50,132
"70","M0601.DCE",2005-04-20,2558,2567,2526,2566,2555,134,126
"71","M0601.DCE",2005-04-21,2552,2650,2510,2544,2582,142,110
"72","M0601.DCE",2005-04-22,2550,2573,2543,2571,2564,50,114
"73","M0601.DCE",2005-04-25,2575,2588,2552,2575,2573,36,108
"74","M0601.DCE",2005-04-26,2485,2569,2485,2569,2558,26,102
"75","M0601.DCE",2005-04-27,2502,2566,2502,2551,2548,52,102
"76","M0601.DCE",2005-04-28,2570,2570,2534,2554,2544,36,102
"77","M0601.DCE",2005-04-29,2534,2544,2534,2544,2536,8,106
"78","M0601.DCE",2005-05-09,2562,2562,2535,2555,2551,18,106
"79","M0601.DCE",2005-05-10,2536,2550,2536,2546,2545,20,108
"80","M0601.DCE",2005-05-11,2552,2555,2541,2541,2545,62,118
"81","M0601.DCE",2005-05-12,2550,2550,2542,2542,2544,8,118
"82","M0601.DCE",2005-05-13,2491,2498,2450,2481,2477,24,118
"83","M0601.DCE",2005-05-16,2488,2495,2485,2489,2488,28,118
"84","M0601.DCE",2005-05-17,2490,2490,2443,2458,2460,40,124
"85","M0601.DCE",2005-05-18,2440,2477,2440,2475,2458,14,118
"86","M0601.DCE",2005-05-19,2509,2509,2475,2485,2489,606,110
"87","M0601.DCE",2005-05-20,2485,2494,2470,2488,2479,74,108
"88","M0601.DCE",2005-05-23,2501,2543,2501,2543,2529,140,200
