,date,open,high,low,close,settlement,notional_million,volume,open_interest
1,2000-07-17,1961,1961,1900,1910,1939,3.3,170,86
2,2000-07-18,1910,1910,1901,1910,1907,1.11,58,66
3,2000-07-19,1907,1907,1907,1907,1907,0,0,66
4,2000-07-20,1900,1900,1900,1900,1900,0.08,4,70
5,2000-07-21,1860,1880,1850,1850,1865,7.76,416,76
6,2000-07-24,1792,1792,1792,1792,1792,0.04,2,78
7,2000-07-25,1792,1862,1726,1726,1793,0.22,12,76
8,2000-07-26,1723,1856,1723,1771,1825,0.58,32,78
9,2000-07-27,1762,1820,1762,1818,1783,1.93,108,78
10,2000-07-28,1830,1830,1750,1751,1760,3.38,192,166
11,2000-07-31,1760,1768,1758,1759,1759,4.79,272,186
12,2000-08-01,1751,1758,1751,1751,1752,0.18,10,194
13,2000-08-02,1753,1755,1712,1712,1750,8.86,506,592
14,2000-08-03,1720,1740,1712,1725,1726,3.83,222,652
15,2000-08-04,1730,1730,1700,1715,1711,6.06,354,876
16,2000-08-07,1670,1680,1670,1679,1677,2.42,144,1000
17,2000-08-08,1677,1677,1677,1677,1677,0,0,1000
18,2000-08-09,1656,1688,1656,1680,1679,1.51,90,1002
19,2000-08-10,1680,1680,1680,1680,1680,16.8,1000,2002
20,2000-08-11,1700,1700,1670,1670,1670,3.37,202,2202
21,2000-08-14,1720,1720,1670,1670,1670,20.11,1204,3402
22,2000-08-15,1670,1670,1670,1670,1670,0,0,3402
23,2000-08-16,1670,1670,1670,1670,1670,0,0,3402
24,2000-08-17,1630,1700,1630,1698,1642,11.53,702,3244
25,2000-08-18,1680,1680,1642,1662,1661,23.63,1422,4622
26,2000-08-21,1660,1660,1660,1660,1660,3.32,200,4422
27,2000-08-22,1661,1680,1660,1660,1665,14.09,846,4822
28,2000-08-23,1651,1690,1651,1690,1668,67.43,4042,7230
29,2000-08-24,1670,1680,1667,1670,1673,82.77,4946,8006
30,2000-08-25,1650,1670,1650,1670,1667,36.73,2202,7006
31,2000-08-28,1680,1730,1680,1728,1714,104.36,6086,10006
32,2000-08-29,1730,1735,1700,1735,1713,119.78,6990,8376
33,2000-08-30,1700,1730,1700,1725,1712,115.49,6744,6348
34,2000-08-31,1710,1722,1710,1722,1720,184.15,10704,13048
35,2000-09-01,1750,1788,1750,1788,1785,54.84,3072,10048
36,2000-09-04,1850,1856,1830,1856,1851,88.75,4792,5684
37,2000-09-05,1850,1850,1810,1820,1820,197.92,10874,13104
38,2000-09-06,1810,1830,1781,1781,1803,100.83,5590,10894
39,2000-09-07,1770,1770,1731,1750,1750,30.77,1758,12170
40,2000-09-08,1780,1788,1751,1770,1775,151.71,8546,20650
41,2000-09-11,1760,1780,1750,1775,1770,156.11,8818,12634
42,2000-09-12,1760,1760,1740,1740,1750,70,4000,16634
43,2000-09-13,1710,1750,1710,1740,1741,100.74,5784,14414
44,2000-09-14,1750,1750,1730,1730,1739,67.68,3890,14634
45,2000-09-15,1765,1765,1720,1750,1736,185.77,10696,15034
46,2000-09-18,1750,1750,1720,1720,1735,72.88,4200,15234
47,2000-09-19,1720,1749,1715,1749,1724,207.04,12008,23238
48,2000-09-20,1720,1738,1720,1738,1725,69.03,4002,19236
49,2000-09-21,1750,1779,1746,1760,1752,147.25,8400,19836
50,2000-09-22,1750,1750,1740,1750,1749,117.2,6700,18536
51,2000-09-25,1760,1760,1705,1715,1727,242.07,14010,18542
52,2000-09-26,1720,1770,1710,1750,1730,149.87,8660,18522
53,2000-09-27,1750,1750,1713,1725,1732,301.39,17400,21922
54,2000-09-28,1750,1750,1715,1720,1724,189.7,11000,18122
55,2000-09-29,1750,1750,1720,1730,1738,234.74,13500,4622
56,2000-10-09,1738,1738,1738,1738,1738,0,0,4622
57,2000-10-10,1710,1738,1710,1720,1722,0.1,6,4622
58,2000-10-11,1722,1722,1722,1722,1722,0,0,4622
59,2000-10-12,1722,1722,1722,1722,1722,0,0,4622
60,2000-10-13,1749,1749,1749,1749,1749,0.04,2,4622
61,2000-10-16,1768,1768,1736,1738,1742,0.21,12,4614
62,2000-10-17,1770,1770,1750,1750,1753,0.21,12,4614
63,2000-10-18,1780,1780,1712,1712,1722,0.34,20,4616
64,2000-10-19,1718,1718,1718,1718,1718,0.03,2,4614
65,2000-10-20,1719,1719,1719,1719,1719,0.03,2,4614
66,2000-10-23,1708,1708,1708,1708,1708,0.03,2,4612
67,2000-10-24,1716,1716,1716,1716,1716,0.34,20,4612
68,2000-10-25,1748,1748,1701,1701,1704,0.89,52,4658
69,2000-10-26,1704,1704,1704,1704,1704,0,0,4658
70,2000-10-27,1704,1704,1704,1704,1704,0,0,4658
71,2000-10-30,1680,1712,1650,1712,1659,8.49,512,5130
