"","contract","date","open","high","low","close","settlement","volume","open_interest"
"20","m0605.DCE",2005-06-03,2535,2618,2535,2601,2593,36,22
"21","m0605.DCE",2005-06-06,2695,2696,2656,2695,2682,18,20
"22","m0605.DCE",2005-06-07,2719,2719,2645,2645,2682,20,20
"24","m0605.DCE",2005-06-09,2602,2718,2602,2708,2656,82,24
"25","m0605.DCE",2005-06-10,2670,2729,2636,2699,2680,14,18
"26","m0605.DCE",2005-06-13,2631,2696,2631,2696,2665,200,18
"27","m0605.DCE",2005-06-14,2628,2680,2627,2680,2648,160,58
"28","m0605.DCE",2005-06-15,2666,2674,2666,2674,2666,48,58
"29","m0605.DCE",2005-06-16,2700,2772,2681,2768,2750,130,68
"30","m0605.DCE",2005-06-17,2780,2810,2761,2807,2792,152,128
"31","m0605.DCE",2005-06-20,2900,2900,2867,2877,2881,226,186
"32","m0605.DCE",2005-06-21,2846,2869,2832,2844,2849,58,208
"33","m0605.DCE",2005-06-22,2831,2852,2831,2833,2845,64,198
"34","m0605.DCE",2005-06-23,2808,2812,2732,2779,2779,194,116
"35","m0605.DCE",2005-06-24,2790,2791,2779,2791,2785,18,110
"36","m0605.DCE",2005-06-27,2780,2805,2765,2770,2775,42,96
"37","m0605.DCE",2005-06-28,2700,2700,2664,2664,2670,56,80
"38","m0605.DCE",2005-06-29,2684,2699,2674,2682,2686,66,64
"39","m0605.DCE",2005-06-30,2688,2688,2651,2651,2669,20,64
"40","m0605.DCE",2005-07-01,2616,2671,2616,2670,2647,162,52
"41","m0605.DCE",2005-07-04,2666,2680,2666,2680,2673,4,52
"42","m0605.DCE",2005-07-05,2692,2710,2692,2710,2699,10,54
"43","m0605.DCE",2005-07-06,2755,2758,2728,2728,2736,18,60
"44","m0605.DCE",2005-07-07,2745,2745,2723,2723,2737,8,60
"45","m0605.DCE",2005-07-08,2724,2729,2707,2709,2716,210,58
"46","m0605.DCE",2005-07-11,2696,2725,2696,2725,2710,12,62
"47","m0605.DCE",2005-07-12,2733,2733,2730,2730,2731,4,60
"48","m0605.DCE",2005-07-13,2732,2741,2706,2706,2717,48,74
"49","m0605.DCE",2005-07-14,2712,2720,2711,2720,2714,6,78
"50","m0605.DCE",2005-07-15,2703,2733,2703,2730,2722,18,68
"51","m0605.DCE",2005-07-18,2735,2735,2714,2719,2725,38,94
"52","m0605.DCE",2005-07-19,2715,2720,2715,2716,2716,18,100
"53","m0605.DCE",2005-07-20,2685,2685,2638,2649,2663,74,124
"54","m0605.DCE",2005-07-21,2721,2721,2653,2680,2673,102,146
"55","m0605.DCE",2005-07-22,2633,2642,2587,2587,2619,120,148
"56","m0605.DCE",2005-07-25,2593,2600,2578,2578,2588,66,166
"57","m0605.DCE",2005-07-26,2586,2599,2576,2584,2587,64,162
"58","m0605.DCE",2005-07-27,2584,2585,2565,2579,2579,60,166
"59","m0605.DCE",2005-07-28,2585,2585,2580,2582,2582,26,154
"60","m0605.DCE",2005-07-29,2583,2583,2558,2574,2570,22,146
"61","m0605.DCE",2005-08-01,2569,2574,2541,2541,2560,50,152
"62","m0605.DCE",2005-08-02,2543,2560,2536,2560,2549,8,150
"63","m0605.DCE",2005-08-03,2570,2581,2570,2579,2575,20,152
"64","m0605.DCE",2005-08-04,2541,2544,2532,2540,2539,20,152
"65","m0605.DCE",2005-08-05,2540,2573,2540,2561,2556,28,152
"66","m0605.DCE",2005-08-08,2630,2630,2542,2566,2557,24,154
"67","m0605.DCE",2005-08-09,2548,2554,2541,2541,2547,12,160
"68","m0605.DCE",2005-08-10,2521,2525,2495,2518,2515,80,162
"69","m0605.DCE",2005-08-11,2523,2527,2500,2525,2515,36,166
"71","m0605.DCE",2005-08-15,2514,2514,2485,2491,2498,18,164
"72","m0605.DCE",2005-08-16,2450,2459,2445,2445,2450,78,196
"73","m0605.DCE",2005-08-17,2465,2465,2440,2443,2456,48,184
"74","m0605.DCE",2005-08-18,2451,2468,2429,2468,2442,196,232
"75","m0605.DCE",2005-08-19,2452,2464,2443,2454,2452,152,278
