"","contract","date","open","high","low","close","settlement","volume","open_interest"
"55","RB1001.SHF",2009-03-27,3566,3689,3520,3631,3641,516,244
"56","RB1001.SHF",2009-03-30,3571,3679,3571,3630,3632,30,244
"57","RB1001.SHF",2009-03-31,3648,3769,3631,3645,3662,92,222
"59","RB1001.SHF",2009-04-02,3645,3658,3602,3635,3626,96,240
"60","RB1001.SHF",2009-04-03,3634,3634,3597,3597,3605,62,252
"61","RB1001.SHF",2009-04-07,3610,3649,3601,3649,3619,152,276
"62","RB1001.SHF",2009-04-08,3608,3616,3585,3585,3606,54,296
"63","RB1001.SHF",2009-04-09,3606,3606,3588,3588,3596,24,308
"64","RB1001.SHF",2009-04-10,3615,3620,3599,3620,3614,120,372
"65","RB1001.SHF",2009-04-13,3600,3619,3596,3619,3601,132,426
"66","RB1001.SHF",2009-04-14,3562,3686,3562,3686,3662,114,450
"67","RB1001.SHF",2009-04-15,3680,3710,3680,3710,3702,26,442
"68","RB1001.SHF",2009-04-16,3710,3750,3710,3741,3740,12,446
"69","RB1001.SHF",2009-04-17,3731,3888,3731,3859,3822,298,550
"70","RB1001.SHF",2009-04-20,3806,3849,3806,3810,3832,24,562
"71","RB1001.SHF",2009-04-21,3723,3750,3708,3720,3736,38,572
"72","RB1001.SHF",2009-04-22,3886,3886,3714,3734,3760,22,584
"73","RB1001.SHF",2009-04-23,3710,3749,3650,3718,3711,16,588
"74","RB1001.SHF",2009-04-24,3691,3707,3691,3707,3705,24,582
"75","RB1001.SHF",2009-04-27,3652,3652,3621,3652,3650,48,576
"76","RB1001.SHF",2009-04-28,3651,3654,3651,3653,3652,12,576
"77","RB1001.SHF",2009-04-29,3631,3656,3631,3647,3645,44,554
"78","RB1001.SHF",2009-04-30,3679,3698,3679,3681,3688,34,548
"79","RB1001.SHF",2009-05-04,3642,3786,3642,3777,3752,42,562
"80","RB1001.SHF",2009-05-05,3752,3752,3732,3732,3740,20,558
"81","RB1001.SHF",2009-05-06,3716,3758,3716,3749,3743,8,558
"82","RB1001.SHF",2009-05-07,3844,3844,3738,3750,3766,18,562
"83","RB1001.SHF",2009-05-08,3720,3750,3720,3749,3739,6,562
"84","RB1001.SHF",2009-05-11,3749,3778,3611,3740,3731,60,568
"85","RB1001.SHF",2009-05-12,3732,3734,3731,3734,3732,48,570
"86","RB1001.SHF",2009-05-13,3730,3756,3730,3748,3745,76,570
"87","RB1001.SHF",2009-05-14,3705,3740,3705,3740,3728,20,570
"88","RB1001.SHF",2009-05-15,3732,3735,3730,3734,3731,18,582
"89","RB1001.SHF",2009-05-18,3711,3740,3709,3738,3728,44,572
"90","RB1001.SHF",2009-05-19,3775,3776,3756,3756,3771,18,568
"91","RB1001.SHF",2009-05-20,3735,3770,3623,3744,3728,66,572
"92","RB1001.SHF",2009-05-21,3738,3738,3724,3724,3730,66,636
"93","RB1001.SHF",2009-05-22,3713,3733,3713,3725,3720,76,672
"94","RB1001.SHF",2009-05-25,3729,3729,3729,3729,3729,4,672
"96","RB1001.SHF",2009-05-27,3730,3731,3730,3731,3730,4,668
"97","RB1001.SHF",2009-06-01,3750,3760,3737,3760,3751,44,664
"98","RB1001.SHF",2009-06-02,3765,3790,3746,3779,3770,60,664
"99","RB1001.SHF",2009-06-03,3759,3780,3758,3780,3765,6,664
"100","RB1001.SHF",2009-06-04,3730,3819,3730,3791,3788,114,668
"101","RB1001.SHF",2009-06-05,3813,3863,3810,3840,3844,144,664
"102","RB1001.SHF",2009-06-08,3851,3875,3851,3870,3863,30,678
"103","RB1001.SHF",2009-06-09,3888,3888,3828,3880,3862,186,690
"104","RB1001.SHF",2009-06-10,3899,3920,3885,3920,3913,210,622
"105","RB1001.SHF",2009-06-11,3948,4100,3900,3985,3988,174,660
"106","RB1001.SHF",2009-06-12,4087,4087,3971,3990,4011,272,652
"107","RB1001.SHF",2009-06-15,3970,4006,3916,3968,3955,94,678
"108","RB1001.SHF",2009-06-16,3902,3995,3902,3988,3985,272,662
"109","RB1001.SHF",2009-06-17,3978,3992,3953,3953,3974,60,650
"111","RB1001.SHF",2009-06-19,3978,4018,3945,3999,3993,76,692
"112","RB1001.SHF",2009-06-22,3999,4175,3900,3985,4014,234,752
"113","RB1001.SHF",2009-06-23,3985,3990,3938,3982,3976,96,736
"114","RB1001.SHF",2009-06-24,3952,3977,3926,3926,3959,98,772
"115","RB1001.SHF",2009-06-25,3973,3973,3938,3948,3953,18,768
"116","RB1001.SHF",2009-06-26,3922,3950,3922,3942,3936,122,786
"117","RB1001.SHF",2009-06-29,3921,3942,3843,3930,3916,122,804
"118","RB1001.SHF",2009-06-30,3930,3933,3881,3895,3910,126,814
"119","RB1001.SHF",2009-07-01,3933,3933,3900,3906,3911,86,814
"120","RB1001.SHF",2009-07-02,3920,3951,3916,3930,3939,460,1096
"121","RB1001.SHF",2009-07-03,3901,3949,3901,3904,3926,76,1082
"122","RB1001.SHF",2009-07-06,3900,3929,3883,3911,3911,64,1090
"123","RB1001.SHF",2009-07-07,3896,3925,3891,3909,3899,684,1348
"124","RB1001.SHF",2009-07-08,3897,3900,3883,3893,3895,342,1314
"125","RB1001.SHF",2009-07-09,3890,3893,3875,3886,3884,384,1466
"126","RB1001.SHF",2009-07-10,3885,3911,3885,3907,3904,368,1446
"127","RB1001.SHF",2009-07-13,3918,3940,3905,3908,3927,232,1346
"128","RB1001.SHF",2009-07-14,3929,3949,3929,3938,3937,162,1402
"129","RB1001.SHF",2009-07-15,3956,4008,3948,4005,3975,258,1470
